,won,games,max stake,% won
0,False,15,8000.0,33.0
1,False,20,4000.0,40.0
2,False,15,7000.0,47.0
3,False,16,4000.0,31.0
4,True,15,4000.0,67.0
5,False,16,4000.0,38.0
6,False,5,4000.0,20.0
7,True,21,8000.0,48.0
8,False,7,4000.0,14.000000000000002
9,False,11,7000.0,36.0
10,True,18,4000.0,56.00000000000001
11,True,20,8000.0,50.0
12,False,15,5000.0,40.0
13,True,18,4000.0,56.00000000000001
14,False,7,4000.0,14.000000000000002
15,True,16,4000.0,62.0
16,True,16,8000.0,62.0
17,False,4,4000.0,0.0
18,False,7,4000.0,14.000000000000002
19,True,16,8000.0,62.0
20,True,29,5000.0,59.0
21,False,8,7000.0,50.0
22,True,16,8000.0,62.0
23,True,18,8000.0,56.00000000000001
24,False,5,4000.0,20.0
25,False,24,8000.0,42.0
26,True,17,8000.0,59.0
27,True,13,4000.0,77.0
28,False,7,6000.0,43.0
29,False,25,8000.0,40.0
30,False,22,8000.0,45.0
31,False,17,8000.0,41.0
32,True,22,8000.0,45.0
33,True,17,4000.0,59.0
34,True,16,4000.0,62.0
35,False,12,5000.0,42.0
36,True,17,8000.0,59.0
37,False,4,4000.0,0.0
38,True,24,5000.0,54.0
39,False,9,7000.0,44.0
40,False,12,8000.0,42.0
41,False,4,4000.0,0.0
42,False,5,4000.0,20.0
43,False,4,4000.0,0.0
44,False,24,8000.0,50.0
45,True,18,4000.0,56.00000000000001
46,False,22,8000.0,41.0
47,True,15,4000.0,67.0
48,True,13,4000.0,77.0
49,False,4,4000.0,0.0
50,True,16,2000.0,62.0
51,True,15,2000.0,67.0
52,False,8,6000.0,38.0
53,False,7,5000.0,28.999999999999996
54,False,17,4000.0,35.0
55,True,21,8000.0,48.0
56,False,6,4000.0,17.0
57,True,18,8000.0,56.00000000000001
58,False,11,4000.0,27.0
59,True,19,8000.0,53.0
60,False,6,4000.0,17.0
61,False,8,6000.0,38.0
62,True,11,2000.0,91.0
63,False,6,5000.0,33.0
64,True,24,8000.0,57.99999999999999
65,False,33,4000.0,33.0
66,False,8,6000.0,38.0
67,False,7,5000.0,28.999999999999996
68,True,18,8000.0,56.00000000000001
69,False,20,4000.0,35.0
70,True,13,2000.0,77.0
71,False,17,8000.0,35.0
72,True,17,8000.0,59.0
73,False,15,8000.0,33.0
74,False,16,5000.0,31.0
75,False,16,8000.0,38.0
76,True,14,2000.0,71.0
77,True,16,4000.0,62.0
78,True,31,5000.0,55.00000000000001
79,False,20,8000.0,50.0
80,False,9,4000.0,22.0
81,True,19,8000.0,53.0
82,False,6,5000.0,33.0
83,False,12,4000.0,33.0
84,False,26,8000.0,46.0
85,False,7,4000.0,14.000000000000002
86,False,4,4000.0,0.0
87,False,4,4000.0,0.0
88,False,39,8000.0,51.0
89,True,16,4000.0,62.0
90,False,24,8000.0,50.0
91,False,12,6000.0,25.0
92,False,6,4000.0,17.0
93,True,24,8000.0,42.0
94,False,40,8000.0,50.0
95,True,19,4000.0,53.0
96,True,22,7000.0,50.0
97,False,17,8000.0,41.0
98,False,4,4000.0,0.0
99,True,26,8000.0,46.0
100,True,14,2000.0,71.0
101,True,18,4000.0,56.00000000000001
102,False,6,5000.0,33.0
103,False,10,7000.0,40.0
104,False,4,4000.0,0.0
105,False,4,4000.0,0.0
106,False,4,4000.0,0.0
107,False,22,8000.0,41.0
108,False,10,7000.0,40.0
109,False,7,4000.0,14.000000000000002
110,True,21,4000.0,48.0
111,False,15,5000.0,27.0
112,False,12,7000.0,33.0
113,True,20,4000.0,50.0
114,True,18,7000.0,61.0
115,False,11,4000.0,27.0
116,True,13,2000.0,77.0
117,True,18,8000.0,56.00000000000001
118,True,17,4000.0,59.0
119,False,7,6000.0,43.0
120,False,9,7000.0,44.0
121,True,27,8000.0,52.0
122,False,9,6000.0,33.0
123,True,19,4000.0,53.0
124,True,15,4000.0,67.0
